Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
218.106.117.229,119.36.175.53,6,37654,80,4272,2463.134
210.42.68.2,115.156.142.69,6,80,45286,972748,2463.445
17.248.216.67,115.156.141.97,6,443,4626,7248,2463.574
211.67.27.190,35.190.14.188,6,5645,443,1544,2463.674
115.156.141.25,210.42.68.4,6,44858,80,2224,2463.677
218.106.117.236,175.42.39.4,6,38534,27436,528,2463.86
183.95.73.76,5.161.98.110,17,58615,1194,28501,2463.867
101.50.8.134,115.156.142.173,6,443,40670,1791,2463.959
113.81.20.68,115.156.144.14,17,12450,21437,718,2464.308
115.156.142.216,223.111.154.213,6,52875,22663,280,2464.372
43.142.81.221,115.156.141.66,17,9993,49049,1602,2464.536
115.156.143.231,122.188.1.41,6,43448,443,3211,2464.608
120.195.6.253,115.156.142.77,6,11301,49911,2793,2464.649
115.156.141.151,222.246.140.1,6,52825,443,2293,2464.699
112.80.183.81,183.95.73.53,6,5223,11180,15762,2464.905
115.156.142.94,103.37.155.17,6,49618,443,1397,2464.968
183.95.73.45,220.202.20.248,6,55358,443,3983,2464.998
183.93.121.208,218.106.117.232,17,2001,44274,10218,2465.038
122.205.9.125,106.74.41.154,6,43472,443,480,2465.178
58.19.27.78,61.241.56.239,17,55793,3478,385,2465.444
222.132.63.244,218.106.117.232,17,8216,44274,381331,2465.723
116.196.148.51,183.95.73.60,6,443,38204,59072,2465.785
123.152.174.101,218.106.117.236,17,12966,59639,45961,2465.786
106.12.24.96,115.156.143.95,6,7824,43574,702,2465.887
116.196.148.51,183.95.73.60,6,443,49644,20544,2466.013
183.94.22.25,113.56.189.63,6,55660,443,120,2466.015
36.156.112.254,183.95.73.61,6,26550,4943,399142,2466.016
115.156.142.218,59.78.173.41,6,4321,80,93498,2466.017
115.156.144.151,39.136.148.204,6,41400,80,330,2466.036
183.93.101.62,183.94.22.93,6,443,59471,14608,2466.131
115.156.144.176,5.44.249.140,6,61387,443,3106,2466.206
58.19.27.44,119.36.142.112,6,55376,443,300,2466.226
218.106.117.230,171.37.33.220,17,58449,4542,11216,2466.277
43.141.131.25,115.156.141.153,6,80,19958,58599,2466.381
23.247.137.161,183.95.73.80,6,2377,56336,120,2467.141
115.156.144.73,39.98.24.58,6,5022,443,120,2467.303
103.37.152.48,183.95.73.51,6,443,39372,4871,2467.437
43.242.156.2,183.94.22.91,6,80,56960,705,2467.729
117.152.152.8,115.156.141.114,17,4533,15942,864,2467.777
115.156.141.149,14.153.2.125,17,24629,37741,1486,2467.886
115.156.144.187,58.47.69.250,6,53605,443,14715,2467.944
20.189.172.32,115.156.213.116,6,443,46146,198,2468.023
115.156.144.54,223.6.6.6,6,10341,443,952,2468.033
153.3.46.82,218.106.117.234,6,8080,51831,3391,2468.339
183.95.73.37,122.189.81.39,6,53104,80,2118,2468.392
182.114.24.247,218.106.117.236,17,16140,41539,1152,2468.422
218.106.117.233,116.136.188.184,6,41124,443,1552,2468.546
81.69.116.87,115.156.143.178,17,443,45232,4157,2468.62
115.156.144.70,112.20.38.44,6,47658,9102,7188,2468.698
183.94.22.50,122.189.234.50,6,46822,443,89596,2468.717
27.52.67.56,115.156.144.67,17,54177,49210,613057,2468.933
111.49.58.1,218.106.117.230,17,13364,48511,663,2468.939
115.156.144.252,101.126.58.52,6,39566,443,160,2469.106
183.94.22.27,157.255.219.253,6,36030,443,638,2469.307
221.194.174.20,183.95.73.31,6,443,46048,722,2469.698
115.156.143.229,43.141.59.35,6,53696,443,637,2469.7
223.6.6.6,122.205.3.98,17,53,50017,302,2469.801
211.97.84.183,183.95.73.43,6,80,53223,36607,2470.17
17.57.145.149,115.156.143.141,6,5223,59532,376,2470.454
112.86.231.45,218.106.117.236,6,443,49281,244735,2470.52
115.156.144.12,222.192.187.248,6,46988,443,360,2470.799
218.106.117.236,116.162.111.22,6,46076,443,3795,2470.812
220.197.30.75,183.94.22.29,6,443,52077,568,2470.897
115.156.143.79,183.47.102.213,6,40512,8080,769,2470.994
183.95.73.33,157.148.126.126,6,55157,443,1831,2471.143
114.112.215.11,183.95.73.87,6,443,48294,240,2471.302
114.250.67.34,218.106.117.232,6,443,5421,2307,2471.468
43.141.131.171,115.156.144.92,6,80,53647,6398,2471.545
153.3.237.224,183.95.73.12,6,443,57464,856,2471.691
43.141.69.166,115.156.144.126,6,443,51032,68710,2471.808
218.106.117.232,222.132.63.244,17,44274,8216,4853,2471.967
115.156.142.155,210.42.68.5,6,55763,80,1323,2472.139
43.141.132.60,115.156.143.139,1,,,240,2472.214
122.190.238.54,183.94.22.79,6,80,37126,4002232,2472.553
115.156.142.246,112.30.220.148,17,55207,9925,1548,2472.775
211.67.22.186,113.240.96.112,6,45898,443,4089,2472.78
122.193.7.205,183.94.22.57,6,443,55788,528,2472.918
103.117.148.141,115.156.141.194,6,443,60805,6665,2473.174
183.94.22.93,116.153.82.238,6,49096,443,717,2473.378
120.53.101.199,115.156.143.94,6,14000,45776,1904,2473.391
220.202.20.120,183.94.22.64,6,443,57647,22534,2473.487
115.156.142.204,223.113.140.216,6,36714,60010,3616,2473.83
60.221.73.226,183.94.22.37,6,443,49952,2065840,2473.918
58.19.27.46,203.107.62.96,6,45646,443,3815,2473.957
101.91.134.222,222.20.104.239,6,443,50737,1924,2474.135
8.134.241.67,115.156.144.52,6,443,49946,2717,2474.142
220.202.7.101,183.95.73.65,6,443,40618,198316,2474.529
112.83.53.64,183.94.22.49,17,3620,56607,183063,2474.614
115.156.144.33,121.194.11.73,6,43100,443,2223,2474.93
183.95.74.99,218.106.117.230,17,6203,12345,243,2475.289
69.231.153.77,115.156.142.71,6,443,61252,2704,2475.309
223.73.103.29,115.156.141.141,17,39061,43590,4570,2475.475
115.156.144.98,210.42.68.8,6,59375,80,1250,2475.517
119.96.5.110,183.95.73.29,6,80,58300,40099,2475.654
58.19.27.18,111.194.223.68,17,51184,23515,1562,2475.881
156.238.199.78,183.94.22.90,6,443,54364,792484,2475.94
222.20.78.56,52.207.202.187,6,36752,443,1256,2476.189
